Date,Risk_Free_Rate
2025-06-03,0.0562
2025-06-04,0.055796
2025-06-05,0.055796
2025-06-06,0.055796
2025-06-09,0.055796
2025-06-10,0.055796
2025-06-11,0.053694
2025-06-12,0.053694
2025-06-13,0.053694
2025-06-16,0.053694
2025-06-17,0.053694
2025-06-18,0.053575
2025-06-19,0.053575
2025-06-20,0.053575
2025-06-23,0.053575
2025-06-24,0.053575
2025-06-25,0.054093999999999996
2025-06-26,0.054093999999999996
2025-06-27,0.054093999999999996
2025-06-30,0.054093999999999996
2025-07-01,0.054093999999999996
2025-07-02,0.053699000000000004
2025-07-03,0.053699000000000004
2025-07-04,0.053699000000000004
2025-07-07,0.053699000000000004
2025-07-08,0.053699000000000004
2025-07-09,0.053872
2025-07-10,0.053872
2025-07-11,0.053872
2025-07-14,0.053872
2025-07-15,0.053872
2025-07-16,0.053851
2025-07-17,0.053851
2025-07-18,0.053851
2025-07-21,0.053851
2025-07-22,0.053851
2025-07-23,0.053872
2025-07-24,0.053872
2025-07-25,0.053872
2025-07-28,0.053872
2025-07-29,0.053872
2025-07-30,0.053970000000000004
2025-07-31,0.053970000000000004
2025-08-01,0.053970000000000004
2025-08-04,0.053970000000000004
2025-08-05,0.053970000000000004
2025-08-06,0.054597
2025-08-07,0.054597
2025-08-08,0.054597
2025-08-11,0.054597
2025-08-12,0.054597
2025-08-13,0.054902
2025-08-14,0.054902
2025-08-18,0.054902
2025-08-19,0.054902
2025-08-20,0.054848
2025-08-21,0.054848
2025-08-22,0.054848
2025-08-25,0.054848
2025-08-26,0.054848
2025-08-28,0.055087000000000004
2025-08-29,0.055087000000000004
2025-09-01,0.055087000000000004
2025-09-02,0.055087000000000004
2025-09-03,0.055095
2025-09-04,0.055095
2025-09-05,0.055095
2025-09-08,0.055095
2025-09-09,0.055095
2025-09-10,0.05505
2025-09-11,0.05505
2025-09-12,0.05505
2025-09-15,0.05505
2025-09-16,0.05505
2025-09-17,0.054976000000000004
2025-09-18,0.054976000000000004
2025-09-19,0.054976000000000004
2025-09-22,0.054976000000000004
2025-09-23,0.054976000000000004
2025-09-24,0.054749
2025-09-25,0.054749
2025-09-26,0.054749
2025-09-29,0.054749
2025-09-30,0.054749
2025-10-01,0.054881
2025-10-03,0.054881
2025-10-06,0.054881
2025-10-07,0.054881
2025-10-08,0.054250999999999994
2025-10-09,0.054250999999999994
2025-10-10,0.054250999999999994
2025-10-13,0.054250999999999994
2025-10-14,0.054250999999999994
2025-10-15,0.054349999999999996
2025-10-16,0.054349999999999996
2025-10-17,0.054349999999999996
2025-10-20,0.054349999999999996
2025-10-21,0.054349999999999996
2025-10-23,0.054592999999999996
2025-10-24,0.054592999999999996
2025-10-27,0.054592999999999996
2025-10-28,0.054592999999999996
2025-10-29,0.054580000000000004
2025-10-30,0.054580000000000004
2025-10-31,0.054580000000000004
2025-11-03,0.054580000000000004
2025-11-04,0.054580000000000004
2025-11-06,0.054485
2025-11-07,0.054485
2025-11-10,0.054485
2025-11-11,0.054485
2025-11-12,0.054312
2025-11-13,0.054312
2025-11-14,0.054312
2025-11-17,0.054312
2025-11-18,0.054312
2025-11-19,0.053826
2025-11-20,0.053826
2025-11-21,0.053826
2025-11-24,0.053826
2025-11-25,0.053826
2025-11-26,0.053633
2025-11-27,0.053633
2025-11-28,0.053633
2025-12-01,0.053633
2025-12-02,0.053633
2025-12-03,0.05348
2025-12-04,0.05348
2025-12-05,0.05348
2025-12-08,0.05348
2025-12-09,0.05348
2025-12-10,0.052702
2025-12-11,0.052702
2025-12-12,0.052702
2025-12-15,0.052702
2025-12-16,0.052702
2025-12-17,0.052779999999999994
2025-12-18,0.052779999999999994
2025-12-19,0.052779999999999994
2025-12-22,0.052779999999999994
2025-12-23,0.052779999999999994
2025-12-24,0.052579
2025-12-26,0.052579
2025-12-29,0.052579
2025-12-30,0.052579
2025-12-31,0.052579
